acn,ATCEquipment/NavFacility/Buildings,Aircraft,Airport,AirspaceStructure,ChartOrPublication,CompanyPolicy,Environment-NonWeatherRelated,Equipment/Tooling,HumanFactors,Incorrect/NotInstalled/UnavailablePart,LogbookEntry,MEL,Manuals,None,Procedure,SoftwareandAutomation,Staffing,Weather
1782374,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1782396,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782419,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782429,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1782444,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1782445,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1782458,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1782460,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1782476,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1782479,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1782493,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782509,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1782514,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782522,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1782525,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1782533,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1782538,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1782545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1782559,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1782579,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1782580,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1782608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1782619,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
